old_movie_id,movie_title,director_name,main_actor,genre_id
432,The International ,Tom Tykwer,Naomi Watts,5
433,The Green Inferno ,Eli Roth,Daryl Sabara,12
434,Anatomy ,Stefan Ruzowitzky,Benno Fürmann,12
435,Mulan ,Tony Bancroft,Ming-Na Wen,11
436,Boom Town ,Jack Conway,Hedy Lamarr,4
437,Why Did I Get Married Too? ,Tyler Perry,Michael Jai White,6
438,Dark Shadows ,Tim Burton,Johnny Depp,12
439,Just Like Heaven ,Mark Waters,Jon Heder,6
440,Evan Almighty ,Tom Shadyac,Jimmy Bennett,11
441,"Paris, je t'aime ",Olivier Assayas,Steve Buscemi,1
442,Freddy vs. Jason ,Ronny Yu,Katharine Isabelle,8
443,Crank: High Voltage ,Mark Neveldine,Jason Statham,8
444,The Replacement Killers ,Antoine Fuqua,Mira Sorvino,8
445,Paint Your Wagon ,Joshua Logan,Clint Eastwood,6
446,Mortdecai ,David Koepp,Johnny Depp,2
447,The Jacket ,John Maybury,Jennifer Jason Leigh,8
448,Split Second ,Tony Maylam,Michael J. Pollard,2
449,Star Trek Into Darkness ,J.J. Abrams,Benedict Cumberbatch,3
450,Grindhouse ,Robert Rodriguez,Quentin Tarantino,2
451,Star Wars: Episode VI - Return of the Jedi ,Richard Marquand,Harrison Ford,3
452,The Wraith ,Mike Marvin,Clint Howard,12
453,The Village ,M. Night Shyamalan,Bryce Dallas Howard,5
454,Open Season ,Roger Allers,Jon Favreau,13
455,The Finest Hours ,Craig Gillespie,Michael Raymond-James,2
456,Anderson's Cross ,Jerome Elston Scott,Taran Killam,4
457,Arlington Road ,Mark Pellington,Jeff Bridges,1
459,Rapa Nui ,Kevin Reynolds,Esai Morales,2
460,Chasing Amy ,Kevin Smith,Matt Damon,4
461,Airborne ,Rob Bowman,Alanna Ubach,6
462,Wyatt Earp ,Lawrence Kasdan,Dennis Quaid,10
463,The Diving Bell and the Butterfly ,Julian Schnabel,Emmanuelle Seigner,1
464,Virtuosity ,Brett Leonard,Denzel Washington,2
465,The Girl Next Door ,Luke Greenfield,Chris Marquette,6
466,Death Race ,Paul W.S. Anderson,Jason Statham,7
467,Me Before You ,Thea Sharrock,Sam Claflin,1
468,Delgo ,Marc F. Adler,Eric Idle,4
469,Cinderella ,Kenneth Branagh,Hayley Atwell,1
470,Bronson ,Nicolas Winding Refn,Tom Hardy,2
471,Terminator Genisys ,Alan Taylor,J.K. Simmons,3
